Topic,Words
80,"download, download app, open, unable download, update, cant download, unable download app, app, unable, update app"
81,"taxi, taxi app, get taxi, able find taxi, taxi app useless, useless taxi app, useless taxi, taxi one, app able find, find taxi"
82,"accept request, drivers accept request, accept, request, drivers accept, service drivers, accept service, request drivers, drivers, accept request drivers"
83,"insurance, zopper, claim, mobile, buy, screen, buy insurance, screen insurance, mobile insurance, insurence"
84,"city, cities, metro, adlabad, city great, mn, service location, metro cities, metro city, helpful"
85,"rain, rainy, available, rainy season, season, rid rain, service rain, accept, ride rainy, even"
86,"log, cant log, try log, cant, add languages, log unable, time try log, log please, able log, unable log"
87,"pickup, time pickup, delay, late pickup, late, pickup time, time, pickup delay, time late, wast time"
88,"shut, close service, please shut, shutdown, service please shut, service, close, service please, shut service, cant provide"
89,"unprofessional, unprofessional drivers, drivers unprofessional, unprofessional drivers unprofessional, drivers, highly unprofessional, drivers hire unprofessional, drivers unprofessional drivers, drivers highly unprofessional, hire unprofessional"
90,"drink, driver drink, bangalore, drink drivers, drink driver, usless, drivers, trip, never, abuse"
91,"virus, realme, malicious, detect, phone, app malicious, virus detect, phone detect, detect app, malicious phone"
92,"find, find driver, find drivers, time find, take much time, difficult find, take much, available, much time, driver available"
93,"polite, professional, person, polite person, mr, prompt, experience, person totally, person professional well, person totally great"
94,"amazon, amazon pay, cashback, link, get cashback, pay, wallet, wallet payment, payment, pay wallet"
95,"deduct, wallet, money deduct, money deduct twice, deduct twice, bank account, wallet money deduct, deduct bank account, service money deduct, deduct bank"
96,"bed, bed service, service bed, bed experience, verry bed, verry, bed customer, bed service bed, bed customer support, service bed service"
97,"post pay, post, pay, post pay option, pay option, give post pay, willbe, give post, pay literally, policy"
98,"disappoint, disappoint service, service totally disappoint, service totally, service disappoint, totally disappoint, service, disappoint disappoint, service disappoint service, totally"
